0.000000000000000000e+00,1.939621909621890961e+00,2.970482898025004342e-02,2.970482898019838683e-02,4.545207951950086685e-04
2.000000000000000111e-01,1.935755689712126193e+00,3.116678220081497974e-02,3.197456605181027423e-02,5.119102758555886664e-04
4.000000000000000222e-01,1.926903859897729498e+00,3.478099746487953864e-02,3.658388932080895717e-02,6.502528227410529467e-04
6.000000000000000888e-01,1.912974555324236992e+00,4.052832673744261732e-02,4.358290174041134363e-02,9.021985785371393080e-04
8.000000000000000444e-01,1.893875722024387365e+00,4.839733657050880600e-02,5.300298208825034163e-02,1.319321026603615396e-03
1.000000000000000000e+00,1.869528349280696000e+00,5.839156092203541537e-02,6.484548860932999592e-02,1.973584491247111147e-03
1.200000000000000178e+00,1.839817184654173099e+00,7.055164681718530117e-02,7.910701022370046631e-02,2.961311897903949868e-03
1.400000000000000133e+00,1.804666201661836000e+00,8.496010600269587876e-02,9.575978483371855310e-02,4.431536380466741254e-03
1.600000000000000089e+00,1.763653146858721099e+00,1.017909384450701865e-01,1.147470726135855629e-01,6.473195563583633051e-03
1.800000000000000044e+00,1.716520647432858482e+00,1.212507652896240018e-01,1.361466460399173850e-01,9.463093840482616342e-03
2.000000000000000000e+00,1.661216601586097408e+00,1.443517024582219033e-01,1.595445419746599203e-01,1.357475121575029212e-02
2.200000000000000178e+00,1.597680192751089523e+00,1.695663134237569980e-01,1.856441765738698346e-01,1.932192591545993376e-02
2.400000000000000355e+00,1.526272570720236921e+00,1.950409564770857473e-01,2.172685862565214010e-01,3.018594114065932185e-02
