0.000000000000000000e+00,1.981294137061273331e+00,9.321940439969211151e-03,9.321940439922364943e-03,4.359984814752009853e-05
2.000000000000000111e-01,1.971812816839952909e+00,1.086363101830576175e-02,1.104679022873338544e-02,6.000546088252864618e-05
4.000000000000000222e-01,1.944560454320704679e+00,1.469233215614867277e-02,1.532745991025747691e-02,1.141955999454953422e-04
6.000000000000000888e-01,1.899071384562357023e+00,2.065528178686915420e-02,2.210596947665312284e-02,2.397452726333161263e-04
8.000000000000000444e-01,1.835679405525549646e+00,2.855840985558904394e-02,3.118272894561925634e-02,4.888812531864041716e-04
1.000000000000000000e+00,1.755491953830850438e+00,3.818018237302123891e-02,4.221639054079537323e-02,9.308280750268933075e-04
1.200000000000000178e+00,1.660332312631780827e+00,4.929000951289338323e-02,5.472502340606202192e-02,1.648483515155361361e-03
1.400000000000000133e+00,1.552929402039001427e+00,6.168480089637942004e-02,6.821452073177908249e-02,2.745159362844805471e-03
1.600000000000000089e+00,1.436658904381312052e+00,7.524337695256391734e-02,8.225128625393952897e-02,4.345207368535525250e-03
1.800000000000000044e+00,1.315929613531116482e+00,8.970140288264683015e-02,9.650899578772122178e-02,6.597078145706087964e-03
2.000000000000000000e+00,1.195123388377595131e+00,1.055259148238042732e-01,1.112845433865083666e-01,1.041479752367644417e-02
2.200000000000000178e+00,1.074366468497055083e+00,1.217729031326058309e-01,1.264379357678637184e-01,1.497267504955548077e-02
2.400000000000000355e+00,9.479522750678115450e-01,1.418121631380810377e-01,1.445133949878848190e-01,2.889109820590568881e-02
